p_old	p_young	t_young_kya	t_old_kya	delta_kya	noem_old_precision	noem_old_recall	noem_old_f1	noem_young_precision	noem_young_recall	noem_young_f1	em_old_precision	em_old_recall	em_old_f1	em_young_precision	em_young_recall	em_young_f1	learned_lambda_n	learned_lambda_af	learned_lambda_old	learned_lambda_young	summary_json	out_dir
0.2	0.1	45000	55000	10000	0.6363	0.9735	0.7696	0.74	0.0413	0.0782	0.7124	0.3561	0.4749	0.396	0.7313	0.5138	0.9342227384849653	0.09653915983826608	0.09032096990609179	0.03715172870400784	grid_runs/pold_0.2_pyoung_0.1_told_55000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_55000k_tyoung_45000k
0.2	0.1	50000	60000	10000	0.6588	0.9481	0.7774	0.696	0.0352	0.067	0.7257	0.3514	0.4735	0.3767	0.7333	0.4977	0.934441317982122	0.09537047018249686	0.09774987059993809	0.04182764068354289	grid_runs/pold_0.2_pyoung_0.1_told_60000k_tyoung_50000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_60000k_tyoung_50000k
0.2	0.1	30000	45000	15000	0.6821	0.9528	0.7951	0.5224	0.082	0.1417	0.7373	0.5064	0.6004	0.3746	0.6276	0.4692	0.9372800689535709	0.09461945215392499	0.06379203273532401	0.028332861133740467	grid_runs/pold_0.2_pyoung_0.1_told_45000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_45000k_tyoung_30000k
0.2	0.1	35000	50000	15000	0.6271	0.962	0.7593	0.7239	0.0977	0.1722	0.7139	0.4948	0.5845	0.4579	0.6875	0.5497	0.9353271744806277	0.09743199096374071	0.07128931711680712	0.03125354836958715	grid_runs/pold_0.2_pyoung_0.1_told_50000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_50000k_tyoung_35000k
0.2	0.1	40000	55000	15000	0.6317	0.9429	0.7566	0.6964	0.1477	0.2437	0.7559	0.4491	0.5635	0.4699	0.777	0.5856	0.9283956883104864	0.096240346642508	0.08388181317222018	0.03342969650375264	grid_runs/pold_0.2_pyoung_0.1_told_55000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_55000k_tyoung_40000k
0.2	0.1	45000	60000	15000	0.6445	0.9282	0.7607	0.6746	0.0978	0.1708	0.782	0.3719	0.504	0.4346	0.8106	0.5659	0.9392794177595792	0.09729169150526211	0.09575318651693995	0.039790536968681706	grid_runs/pold_0.2_pyoung_0.1_told_60000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_60000k_tyoung_45000k
0.2	0.1	30000	50000	20000	0.6691	0.9557	0.7871	0.6959	0.1257	0.2129	0.7816	0.4873	0.6004	0.4366	0.7542	0.553	0.9460602570026427	0.09686163964397827	0.07473967580328932	0.031593361484267626	grid_runs/pold_0.2_pyoung_0.1_told_50000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_50000k_tyoung_30000k
0.2	0.1	35000	55000	20000	0.6321	0.9515	0.7596	0.7465	0.1518	0.2522	0.7572	0.4804	0.5878	0.4842	0.7671	0.5937	0.936994402826992	0.09592192108206088	0.07864658065913159	0.03312968513974279	grid_runs/pold_0.2_pyoung_0.1_told_55000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_55000k_tyoung_35000k
0.2	0.1	40000	60000	20000	0.646	0.9054	0.754	0.7272	0.2121	0.3284	0.74	0.538	0.623	0.5038	0.717	0.5918	0.9349931997190256	0.09585784517635261	0.08319329843620596	0.03300624133698333	grid_runs/pold_0.2_pyoung_0.1_told_60000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.1_told_60000k_tyoung_40000k
0.2	0.2	30000	35000	5000	0.4114	0.6907	0.5157	0.5516	0.2784	0.37	0.4434	0.2754	0.3398	0.5789	0.744	0.6511	0.9165294773470483	0.09613280654978448	0.060184535017198226	0.028511401705104866	grid_runs/pold_0.2_pyoung_0.2_told_35000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_35000k_tyoung_30000k
